Day,Polymer,Time,Batch,N,Al27,As75,Ba138,C13,Ca44,Co59,Cr50,Cu63,Fe57,Ga69,K39,Mg25,Mn55,Na23,Nb93,Ni60,Pb208,Pd106,Sb121,Si29,Sn118,Sr88,Ti47
230523,PE,After,01,1,5370841.10790481,299206.82379892,26897643.1811408,1193324.58662817,861939.825528366,1194348.76642724,1974305.63774699,1321303.39213338,61511.0053359129,2585261.87946682,2044069.53452488,284120.716684506,5201403.14205982,2019481.56055687,4224652.23146235,209254.82557581,4356958.62110281,362873.754281381,5105559.43011043,179819.844717374,1171999.47911575,9542447.53324417,2123951.75872421
230523,PE,After,01,2,4800719.70558955,252326.401134868,25067309.1959747,1069892.98338677,768308.589141741,983639.301460663,1764372.41799034,1131811.15676211,54416.1197622264,2354250.18575309,2164780.34575325,255473.223963192,4852773.89744844,1333011.8703759,3810904.5644828,180256.021308464,4051999.58940876,337267.482321385,4690468.76303942,164929.495866988,996290.63973392,8732881.19172229,2017071.19668995
230523,PE,After,01,3,4992677.06225514,243115.649770345,27330784.6387308,1116919.66143869,825509.666865539,1072593.47749965,1792942.7137948,1186398.99337233,51507.4785398012,2296814.00738876,2398341.28375697,258948.306700341,5136047.61630701,1421490.42061402,4164297.87930305,189676.883515928,4292076.09687359,353380.829028553,4886438.79103307,169503.297591996,939528.444573895,8977752.12402602,2040504.77719348
230523,PE,Before,01,1,5329571.41679903,287435.181445867,27579615.1635501,1306881.83637571,788628.636744842,1072295.7286264,1934673.12840943,1291406.37281243,59860.1210958818,2482146.76452728,2049569.66242947,276279.640225498,5078117.55865564,1549284.5660325,4119393.89617528,190834.43330931,4422139.82248721,350774.006287768,5047223.19713688,192878.401220952,1013424.89405426,9206893.31286766,2183415.66007488
230523,PE,Before,01,2,5253659.87322289,279034.407449639,29175198.8188716,1270569.4311546,871613.768272063,1101876.93870383,2059184.0767652,1198994.20095755,58457.5907070108,2540374.58745486,1987165.51804706,296541.108833178,5088387.68996957,1516747.37439073,4497434.34171455,210101.69820055,4256773.5179726,334267.070739022,5309541.64939319,201037.648314872,1098611.57890175,9619341.82320869,2283379.46646046
230523,PE,Before,01,3,5581631.58931698,232166.988789673,24906863.1177934,1214355.92305248,759754.397902931,1087059.79749318,1764161.62765578,1152169.82698865,52627.5855872328,2269319.42126483,1592137.38938659,248532.432979612,4529110.72919664,1037878.73955984,3835927.96011753,185117.549647042,3775723.55898236,301370.476294885,4570449.73629512,173685.12647645,888802.728895295,8312349.18957838,1983161.04760996
230523,PE,Before,01,4,4909462.34657005,219006.065624856,23998981.5187251,1171971.12740278,721572.034739495,994658.379024214,1684945.56836795,1127879.2802089,50195.822620365,2141839.39674927,1691688.41621922,236282.250614301,4410177.15664622,1189054.90933953,3589074.78255095,181198.902981508,3533038.81927442,294102.526613121,4239968.5865605,164521.921368767,802703.138807009,8185570.91355758,1880761.09350579
230523,PE,Before,02,1,6126953.86084115,236136.523640876,21234402.0515477,1226260.42567043,606571.896662892,1037769.75568241,1635493.87784276,1198040.40729169,69215.0242549185,2442488.56298191,1922673.87323771,220388.567279125,4094655.48259394,818643.386413986,3633698.76939542,149828.544914097,3263532.90512722,3137903.26638109,4286827.922309,162958.510905677,973408.002603136,7548849.28093932,1723690.658799
230523,PE,Before,02,2,6544072.77860388,238161.572650057,21440942.3945028,1221562.69613043,654265.684737733,1081567.19544866,1583328.34888334,1225922.42705732,71684.3877752792,2486351.55238946,1629402.47306969,217987.198652355,3853643.0140686,768543.50790939,3687292.47148901,151818.432150127,3368267.36767006,3548389.20884735,4326172.23201221,164733.355941283,925782.836993021,7900595.73993776,1712736.16905769
230523,PE,Before,02,3,5787611.47415699,219423.789191748,19587911.6455173,1212294.11597,783279.75970216,955409.243954398,1556669.38194826,1157239.92771933,67321.3797847394,2254776.49949871,1394826.63833686,215059.586123533,4152170.86958449,674827.422335061,3560502.8534942,169833.899758647,3039825.6684468,3275065.23578821,3923158.30009159,154466.617740542,880694.801245168,7575483.29320137,1620906.48005465
