Polymer,Source,Day2,Batch,Color,N,Na23,Mg25,Al27,Si29,K39,Ca44,Ti47,Mn55,Fe57,Ni60,Cu63,As75,Sr88,Nb93,Sn118,Sb121,Ba138,Pb208
Can,01,1,A,Black,1,56841.7040421688,12105.4668850461,451451.337642022,38445.5520268976,267399.612217502,1156666.18409728,500023.593316377,44082.5727332791,36682.5183026642,938.330927720384,98427.3195066679,2424.0226968852,29570.5519941009,11082.4258675508,1800.57026985288,184553.9979591,86832.2577470159,6621.2877540113
Can,01,1,A,Black,2,48238.7051741292,12876.5983938905,264982.951709018,37575.1904592128,137528.430647779,1192629.7810631,503009.895748996,39485.7953837258,32799.1644074661,799.352018171206,101432.243980669,2010.65548267271,18962.2022748751,11093.96165402,746.596347974184,24455.5176164188,113244.518728285,1979.63927688539
Can,01,1,A,Black,3,66655.7152741074,10404.6986790227,365963.047724094,38472.1502946047,175444.092006402,1179014.65134602,531205.667919491,53590.6601785607,45477.2405743841,833.04351413961,100321.324477307,1982.22745393159,29568.3109637731,11419.8272542956,765.702636571043,14569.7123899158,126763.638529371,1508.70777131916
Can,01,1,A,Black,4,42589.4401308139,9366.84227690484,240318.625077621,33712.7012649993,103827.777090911,1205820.18252045,513990.273923478,55179.6280330768,44369.4324166277,821.664076646863,97302.6426662932,2078.27870490823,22121.3057712864,11149.3139851072,732.36686608391,11715.8861889364,85428.3802115166,1432.59343273309
Can,01,2,A,Black,1,59406.2084078454,13120.0117333343,474255.54151679,41617.8926649317,211219.077187384,990272.468875384,578351.40513735,34579.6526920352,43832.27661825,905.254526724087,89048.7424003131,454.148398102546,18980.8097742544,11472.2177297363,846.626877414051,2306.33450928607,74589.797045547,1185.50429040386
Can,01,2,A,Black,2,87276.4978369977,8893.1540051651,535895.670944092,39940.0474362591,212804.411772818,1030317.82529443,597478.168080749,26959.6159630685,35613.8983558781,874.063867317078,96262.1400835484,418.774866197394,19051.7551730167,12323.9926223043,1024.42399015707,1875.00357525859,104456.970958694,1328.27176949755
Can,01,2,A,Black,3,75017.7930089944,9369.48552557771,410567.389001031,39136.6115568049,193531.740175676,1007533.06243177,596108.455687987,30242.591509394,47969.775351245,904.122713587771,96623.1859679059,378.126083889735,28771.6588846281,13048.2053287398,895.325982928058,1798.33614511886,125319.058030183,1485.05310571794
Can,01,2,A,Black,4,58717.8003657862,10750.4498846861,428667.566100578,41036.8302138552,202551.611725053,1060158.80325061,576184.359698484,27489.4651515526,36367.9707126962,891.063035426574,98876.350002465,380.667295762398,17326.3787252673,12373.3824879358,989.169345074458,1780.83514126515,111008.871256405,1398.05685961632
Can,02,1,A,Black,1,24434.5425196143,3969.95816766225,69465.0070831693,28586.3654499057,94181.0216492535,316478.390494341,3039.35212081525,24089.3841135351,3439.06579612718,352.997904619821,4675.45893902574,3377.24147891952,10229.7413498883,1547.65851392819,5000.88923008822,52438.6185675118,38354.6740838749,14613.8293873795
Can,02,1,A,Black,2,12613.0558790381,3204.1607114961,70407.061477477,29470.6730774951,100464.780123318,345016.084707241,863.684569178488,15230.4597390293,2757.45103561615,310.069701848587,583.861515730405,1557.24841384866,7111.46969124893,67.5301661986947,1694.83536278044,6924.93913275809,18920.6724391254,2033.25915432828
Can,02,1,A,Black,3,12868.9114625903,3357.25346860401,98767.0821019954,54300.8932829486,115210.644532206,477747.445557608,1190.2598821259,28648.4096248094,3510.59021200617,194.720669445624,505.787248296029,1311.38025755346,9938.01262902606,60.5382321214241,1530.13137042854,4612.13360642516,24510.5136189411,1538.81848979896
Can,02,1,A,Black,4,10325.5010731544,2768.79460895724,72681.5168377672,23668.0717311911,91029.1076696233,374634.24172657,1056.89655049327,9698.58416886405,2425.29619803208,159.141660241652,329.042236893811,1156.5445901601,7650.50688090481,58.3738332232473,1308.88743951475,3344.35502104984,14500.051913493,960.103898151393
Can,02,2,A,Black,1,33056.9953115564,4341.15032642933,128314.203469359,36927.8661870278,191832.097836496,489859.191997018,3356.66823533257,16717.2910809046,3767.5254225344,585.731864105945,1930.36272441599,884.309202062841,16621.1209251712,89.0800805188039,3202.94005444337,110971.013269276,42957.3848530556,4044.23530419851
Can,02,2,A,Black,2,20918.4450280176,4427.61080917837,136690.178725727,34388.4742034429,164499.34253494,600593.379415972,1026.30928673772,17257.7376939761,4172.6721576936,168.616215791559,605.448353595677,489.659660850278,12183.6777007557,21.4675554362739,1776.4446501089,15138.2675048456,19869.5997973766,1173.21794691676
Can,02,2,A,Black,3,44598.5052279002,4375.91767179626,188967.711755471,37514.5695758998,175898.388921927,529471.584088927,1247.86774908523,17908.785069685,4207.48038582667,177.524556657495,494.641342595296,335.745166675949,10847.2119582499,62.7664127704341,2660.77145422263,8092.50171273386,18100.5737872661,1618.84919232732
Can,02,2,A,Black,4,44953.0403062364,4943.36037619506,165101.3161326,34960.1167416694,147762.629088305,519510.306518107,954.576839736555,16345.2517840468,3812.12150939576,152.689944111794,491.415204937815,377.442508752597,10792.3364577352,37.0619462849464,1757.14427652534,5797.27576818377,18285.5879445665,917.244049134074
Can,03,1,A,Yellow,1,4385.36185198909,642.318694908554,19401.3036734641,16764.6085011641,10748.8289226179,33427.8659806468,157678.92217294,1127.51080645533,279.360074399723,111.969281931902,105.587090466375,2754.49243349897,1430.1996367823,6020.89281735304,649.614404029266,7740.05500353059,8071.4513122451,393.160513791444
Can,03,1,A,Yellow,2,5624.60794182288,540.509531252906,15941.1683631194,14748.9075379837,12370.8955605581,31958.200450927,147131.07532317,1674.33250195045,208.915127223705,75.9751643905007,162.63608623131,2567.34866087643,1425.97536558876,5967.9305885262,514.026579185484,7522.9697981691,6590.47880352474,419.398946128588
Can,03,1,A,Yellow,3,2146.65464333901,416.426024575263,10222.4549823163,12257.2287182969,10055.7162889829,23265.5155936754,97186.6784228081,953.936601773152,246.821481475416,94.6244989345034,191.401901166385,2456.34315296114,857.562207594351,3581.38146794377,467.550814309586,7372.9890961803,4286.31523887588,287.101604391142
Can,03,1,A,Yellow,4,274153.12172755,5636.16035694413,48287.3618571156,15170.5979928132,55369.7055948178,29661.8756857418,402.553300344954,1258.20362085488,2835.9774582581,135.932375209097,28027.5356790733,5475.32403429351,5105.7503056208,179.57329469786,670.648985616282,50217.1500444046,10649.1690303349,1257.3279414514
Can,03,2,A,Yellow,1,31543.190495764,1326.20632866833,40575.8106739481,26246.7419459013,99565.552885,87941.4845788347,296469.560219894,2350.82835382843,383.096585755427,295.33581671238,541.913883385744,973.285353938035,3005.50821699982,10127.5680194412,1260.04110959589,7914.91232202828,13837.4326106179,984.661998132969
Can,03,2,A,Yellow,2,24695.0540222262,1320.22002304712,38646.8309927791,27338.5143232204,56608.1864585522,65955.7133351892,301440.620767651,2420.40755412807,455.370426679569,306.388987390711,324.941612078164,768.672290693318,2750.72547721081,10366.3798893897,1243.35560882985,7594.26577844671,14020.6235081734,868.588782463137
Can,03,2,A,Yellow,3,23624.1040315777,1499.31873642474,39677.9530655574,27055.3784007779,50525.0043899683,77369.7178495712,316672.986803161,2352.36509563022,577.452608226112,284.871362222149,337.278114803267,694.834008896688,3180.88767789192,10390.7350221285,1302.01940271101,8400.35763045672,16245.1695203419,905.1176748013
Can,03,2,A,Yellow,4,16345.4226863763,1199.75892572643,38805.1346331959,25985.5924428425,29487.792727216,76911.6469074984,268255.810032053,2615.08102205442,456.012206519128,280.650550661354,219.359810871195,659.186906148325,2576.24472193264,9237.49922600021,999.080273170409,7584.52518544386,10113.439742263,754.868001255078
Can,04,1,A,Red,1,94612.3624024592,147880.409174507,90122.6487844153,68018.6843206877,33110.0857404438,316133.866369528,492966.593053756,7869.63067211531,262439.341918137,350.41442787702,606.276294746101,6395.61433494977,8155.39745429971,15156.6689121124,796.841728788814,24219.0254885991,2049.11102039335,970.697974142199
Can,04,1,A,Red,2,139086.029832496,205754.610475873,83665.013295734,78553.2268028588,39061.2949744634,286456.888592602,551193.983563537,9104.76122731056,280962.383511186,406.391676814576,748.925669246797,3390.06870874587,9040.68534591951,16798.8933457061,536.838475680207,8349.62301615373,4711.9800121876,886.765487199732
Can,04,1,A,Red,3,309586.975484636,222361.68815669,99250.4443678087,101188.602158314,55802.677966098,322904.20530415,541291.014065838,8284.1541019898,281187.398835144,354.845617357905,1806.45702467486,3321.02500846803,9820.97319373837,17133.8934779142,796.31621304433,15967.4339835941,4748.8577139922,1136.68504858577
Can,04,1,A,Red,4,304738.601023401,193190.871236544,105612.192537999,99809.6887009978,55251.0866207593,331291.729286523,575725.757061779,8967.53515893462,292154.761276774,349.469320581148,4210.61959408798,3991.35185753269,10339.4463972115,17040.6601379604,904.304281826262,38868.2554139351,7063.41837863288,1349.24297494934
Can,04,2,A,Red,1,170975.004993974,349546.994457324,148757.635318264,124885.948537555,59327.7853354564,462075.793574324,938817.399287221,13448.676028317,526258.349066652,576.359707993305,813.270771397202,5761.11426111525,13036.2891814436,24387.6711807465,2066.44759069219,16673.5707467007,4721.15008673964,2623.94757395152
Can,04,2,A,Red,2,203158.29487039,314835.593793543,164091.358190799,131144.657444506,58250.016518174,556894.740605845,993203.269476257,13906.4944043339,553982.132538793,632.681043150517,833.206406524851,5040.24699524788,14730.2423276199,26917.8454258589,1764.93360079654,13543.7679580368,5339.68465568768,1989.21134087712
Can,04,2,A,Red,3,343852.350689156,376921.594018022,186923.727559495,172197.130335013,75189.7401532426,562152.425179991,1004874.34502141,14740.6559483177,582707.421273015,593.224006407055,878.303137314583,4173.29659956908,13165.9070790042,28745.9445872474,1550.11941063596,10808.3160391952,2895.84401648165,1874.35088270913
Can,04,2,A,Red,4,194894.194824878,355679.561228091,198137.569927296,137629.976197872,71962.9619030151,539976.4255937,1078570.22467644,16247.4117413155,612578.145463862,662.386607210834,793.583425225949,3522.18124113018,14035.891468084,29155.1880050148,1516.37624799608,9643.97576773824,3419.01583849759,1794.76511722361
Can,05,1,A,Black,1,38860.3293941936,1951.83316529843,53447.468015458,21698.067798754,14835.3335067323,24820.7364813022,128372.806666999,1184.28565324657,9330.7007886609,232.982531995117,2403.79100626711,4522.3227394734,1639.32614014815,674.186383707982,539.462928401043,51310.0703511019,16715.5583061771,1918.36939492396
Can,05,1,A,Black,2,15916.8099222254,1021.56806473325,42475.8024915131,17546.2050932382,10509.7792689094,24821.6651782788,114274.428669376,755.696277822224,8582.62157214666,164.895502154401,2173.85662570132,1962.6475144555,792.722285772243,278.594399689644,224.421027544023,20776.6262512494,4598.31095983458,264.308470020669
Can,05,1,A,Black,3,16957.444447771,1244.40265756064,48824.711518395,16608.5439111713,16808.1127190373,33934.7763362019,99872.5973806269,760.044423965923,7879.00442138995,130.716766918791,1988.35968702699,1622.80582014733,1056.58298735426,298.906224285787,478.543707330618,19148.6443839793,4221.51362268407,183.873286054693
Can,05,1,A,Black,4,20214.3450762469,951.947566037775,43806.5692601824,17920.9483632559,17969.3567450946,26163.4843535201,86809.3863529368,1761.95034279985,52964.2192644861,246.675675869939,2111.44464962503,1535.27388600158,683.895502107885,327.103931668801,354.394665473967,17479.2587256394,4047.40619322842,275.536293699661
Can,05,2,A,Black,1,37535.409084485,1961.46109518327,82860.4030298402,30122.4541953612,18200.2890445769,43147.036252979,201368.888256657,1535.4241686195,16000.6372636299,171.677844722312,3307.14160863498,1159.94351243107,1023.36879067642,703.973096126803,630.330684286017,28302.6224491866,7613.0160718286,432.594285242103
Can,05,2,A,Black,2,34606.7525397825,1747.60606107116,72437.2291245399,26952.2708852955,20323.4156027328,33706.7114407364,183940.223747979,1264.46162456338,15320.8962557428,163.174183903824,2945.49174569643,465.788634402171,1285.01150325913,464.869442258835,257.344691774691,28676.6825800042,14316.8987861191,220.880943673976
Can,05,2,A,Black,3,27134.6938238401,1633.85125506556,62560.0599138237,25871.4635776696,20426.1758199153,40008.2800767437,163757.132970362,1094.13851322977,23251.1619177499,137.636395731579,2555.41485914503,451.399333547842,1357.23967345293,445.182177035373,328.554833771315,22400.6530341684,5738.0708695841,192.349981514128
Can,05,2,A,Black,4,26471.3471126978,1475.52167189211,62621.6521939479,26674.1451203406,26316.3496371674,26673.3774872002,134226.709052311,988.659684622499,12141.2060718128,95.7002107741424,2454.0825871354,464.546556626171,837.933504308394,395.082840031816,372.083607886789,27333.185505967,7143.17630773095,184.948739825377
Can,06,1,A,Red,1,25658.9386523347,5046.81076779288,254684.595939867,13452.3646555566,46883.3454355921,248396.267403047,249999.217693895,5597.92773283272,13383.5114501923,64.029843357399,484.091118024944,4294.79892868304,22732.8169538509,4915.1612946693,377.63057667822,21956.6331795714,8637.79006006465,573.034987966638
Can,06,1,A,Red,2,43909.069230102,5073.34010695776,299669.549253379,12386.0687870903,107905.563874596,349833.784008308,338447.791904538,8719.22063280593,17811.580414343,255.0743315134,572.694494188689,2720.62755957727,33574.3465443463,5556.24455965085,366.526483981681,7411.40594340089,25458.4633757706,593.223434213543
Can,06,1,A,Red,3,28208.7087918148,4874.01181662019,310356.11888409,12937.1446825383,31413.9259416877,348520.715218854,311625.627687787,8138.96509819416,17664.1152720512,60.215561294899,356.997600214028,2425.13226042746,23133.5160345343,6209.61178144369,218.29115894118,7356.52952670093,11348.1377153949,282.556322684878
Can,06,1,A,Red,4,15489.9805698742,5064.74504521975,316793.332833874,12762.6055158471,27244.3061866737,396068.998169838,343590.830462071,6587.83268818793,18284.4327561498,66.0874556565705,271.386187402571,2643.94265597341,27210.8372523522,5874.75178913734,373.303467857636,7796.0642519855,20114.6535645849,277.424351863305
Can,06,2,A,Red,1,134338.463310893,8185.96860373202,473147.653108807,20373.246215852,139915.145869738,444862.711292588,515021.59811647,9739.13461016036,27157.1778389402,99.5935723005851,1289.14702857965,1188.939970095,40457.3756899398,7620.6520751191,570.495821360689,16101.9288637407,16607.8155545022,601.553731381275
Can,06,2,A,Red,2,29935.1195067532,7312.1609209325,433724.468298354,18040.8888028597,40366.5096181903,414629.897591862,483744.041524122,9630.87644238034,26256.6565182682,64.5165273520516,388.976579738426,651.243530510364,45246.4674838722,7927.99570426064,446.60089292038,4760.58094826951,14576.1692658837,379.464094156353
Can,06,2,A,Red,3,32068.8265652146,7116.2703202063,431897.294909521,19054.5348708303,30338.263747589,453034.446312253,510374.566498451,8830.51156873563,21887.2016824459,58.0649462403785,314.703409056178,673.256074404891,38524.0312398217,7560.16033946785,161.32572116437,4097.90202746616,14238.8496969001,356.360271422698
Can,06,2,A,Red,4,61613.60396265,7588.59458648115,442830.526431084,18278.7844203558,95637.4960067128,494279.427981936,496074.208457781,8485.75748485426,24810.6181873218,92.4740215155271,625.831132231929,595.380779079243,32825.6307070867,8588.84005002522,294.660562795211,3994.57722920061,16916.3942017977,547.03578075951
Can,07,1,A,Red,1,12200.7994043147,3468.28757834012,62294.6855004005,19141.9912685496,18160.995703607,252377.231432622,305932.178346513,6672.58616483886,14588.700389958,40.7582438850607,250.470510484504,3512.00116309484,36916.7876797543,6095.02902579288,221.299824325437,12939.8118423096,65775.8811689765,353.61402345858
Can,07,1,A,Red,2,9609.18685676105,3350.22872856973,59484.9503343641,17727.3066785632,13953.6626279256,214978.901291006,323707.672947923,6716.83127925796,16616.8854931992,29.5815860010411,152.691217269713,2108.29129982393,23828.3250210216,5201.29477116595,181.556434033181,6561.10078618842,34372.2237224924,330.087556737539
Can,07,1,A,Red,3,14085.4820261015,3315.10845553163,61116.3673379944,19486.2228723658,15974.4116727708,239230.215313136,313463.625018122,6763.07291135338,15626.0741050459,55.435152176887,245.692659170807,2035.77749510199,34425.0485040803,5690.53589323729,272.068892374472,6479.28679221754,41072.7661956071,236.01330959677
Can,07,1,A,Red,4,10094.6448229229,3410.76909066405,58399.9894363004,19601.404623677,12532.1157807766,222842.44843341,314086.825139783,5664.72153890673,17141.6403039072,47.8726085123234,197.853660308441,1798.50799356446,25111.880483945,5446.29697585985,233.824015215992,6013.47291280766,46789.5276416418,293.519337797102
Can,07,2,A,Red,1,21248.4996714113,5087.81941683604,98525.4416365388,37222.1049067042,23718.3672804838,363178.152704405,450438.321880874,8312.33985142113,21863.074785042,103.524869425027,291.09825765297,847.338594086149,32690.5239320289,7401.85288972115,375.581129287198,6336.06509941256,63976.0142059319,370.116801660184
Can,07,2,A,Red,2,19629.7333556587,5154.73348029985,103172.040416653,34142.6405071897,20429.5941380942,355232.437639613,471096.59871555,8020.52640044152,22368.3563676951,53.5242949496053,353.873893707338,397.832315085032,34857.139993636,7987.83584270824,314.887829574392,3111.31189926151,54241.2192667505,313.703630488611
Can,07,2,A,Red,3,22023.0456357201,5416.77906130431,100914.077446811,32530.8734345118,28770.7257821153,388671.310887202,467481.619345941,9841.4795202879,23704.4879191811,66.8159902603262,328.526452005543,382.214305699911,36118.1222185746,7082.33077035582,213.341540008203,2809.94696449329,42334.0860673692,296.470993532492
Can,07,2,A,Red,4,25873.0628620923,5358.2282199708,99101.1148025232,33102.0666728589,37864.9587420284,333669.952234858,413920.911938255,8850.42812807162,20748.2919212362,106.452855931476,457.728634429973,276.362362319833,32365.6320322949,6580.79329896216,351.65665385974,2890.79203529049,56860.1675966121,348.395853991989
Can,08,1,A,Black,1,5025.37014647929,1123.27402586272,8725.97557747272,18376.5657556063,57300.5526833403,59751.020433265,6154.43090923209,676.873656575251,457.038768504928,743.038388350639,381.859080898745,4125.14691625904,1906.99785809959,163.326587406922,252.153719173325,14322.206176252,1959.45857814636,455.310638928792
Can,08,1,A,Black,2,1172.61384809882,914.993846290491,6078.60893977517,19790.9135872808,43910.1923582748,71590.3359166201,504.380355166775,331.22900255931,283.573975131292,695.455333278062,357.589806671768,2508.10903150854,1469.17748108542,17.5068162640306,345.227423889139,6524.11714098988,672.579397758171,301.734909725656
Can,08,1,A,Black,3,2306.25180452819,1375.7270786374,7867.45382068565,19801.1105525614,51397.4327216383,68596.8230025535,196.784985438387,535.563699744934,388.194121693175,1068.74283904786,594.645347058391,2136.89680733383,1644.07808865799,3.50635175352819,191.849914763502,6164.10471781288,567.901512948932,375.323748035997
Can,08,1,A,Black,4,3939.32806415798,1025.10639208695,7282.61709331849,20199.5505638097,55456.0251083446,87931.1369060644,190.016221564132,502.22624984297,403.557117086055,817.545411587744,626.520521595385,2030.85096940242,1656.99880359353,9.92291823318654,204.759008329156,6153.3733113692,562.40970771059,273.005851134211
Can,08,2,A,Black,1,22162.3138179873,2428.29158775239,32259.6999998996,32155.239474446,96882.3321177186,129528.995680145,573.311999907422,814.348238859914,570.416383607422,1693.08621325617,948.537773533454,485.871283088055,4275.73406731198,17.5001144452578,414.132098477889,9907.14437045985,1218.27787858064,483.257567435697
Can,08,2,A,Black,2,19986.8625673117,1529.07750241698,15554.0371055789,28035.9271244857,106430.894744511,113296.008091338,519.086483028603,858.570129838958,698.694128697326,3981.95022371589,1558.19459804033,451.093543711326,2414.78292373031,33.3335096784688,366.731527138308,2453.07413730847,795.98052930711,614.000237495461
Can,08,2,A,Black,3,7628.78332718473,1618.60337553316,12382.7839728337,30067.8334513875,72556.1420862344,102461.797872308,290.64281780504,602.58845021972,449.957926283578,1329.76951767067,676.964379340295,422.90124530537,2063.82269031616,3.94023315223696,124.551857984798,1628.96837504652,11173.5669134998,423.414374000515
Can,08,2,A,Black,4,5809.2335060615,1563.15973902585,11949.181524913,27878.5675025715,67583.8848074973,103255.887337808,313.70173945147,749.615899939449,388.290210049122,885.479103018665,475.285394112089,352.710977613798,2016.22302105594,3.22584516165161,383.915509573213,1616.30033893408,393.386079295927,277.42511842058
Can,09,1,A,Red,1,80729.6726062608,8228.5150725778,149381.174436071,12946.6379348231,30746.6585569758,197545.623563065,2476.79790675194,1272.44777643306,612.505750273252,129.454637612895,392.290218454213,6164.53141277221,22766.4505002776,472.173829954767,945.258784295514,27876.4411603692,3379.28713326466,876.322755347233
Can,09,1,A,Red,2,21493.4217887914,4783.21655533146,147657.02070482,11134.2897901802,26088.4244929767,193161.904403556,1001.17771051529,992.423715988018,664.203106501071,72.0435139825377,273.444699666233,2806.29625628151,21652.7598136296,43.5444555007935,433.351462410251,5764.82378683286,1680.71542761504,317.144328431165
