Polymer,Source,Day2,Batch,Color,N,Na23,Mg25,Al27,Si29,K39,Ca44,Ti47,Mn55,Fe57,Ni60,Cu63,As75,Sr88,Nb93,Sn118,Sb121,Ba138,Pb208
Can,01,1,A,Black,1,8.648412435617218e-05,0.39640953959193664,0.012152530044338786,0.0013725164527306642,0.3970518529843341,0.05838769972184187,17.837934587430965,0.09622795345347243,0.8298928439407104,0.014337439698400487,0.59955209158067,0.052497645533851126,0.025030087611988716,0.02302804808535002,0.00868549401252961,0.6673275565686766,0.1347862953851956,0.01570388686572593
Can,01,1,A,Black,2,7.339474154337715e-05,0.42166126175091057,0.007133024123266372,0.001341444312821317,0.2042109103071991,0.0602031169350601,17.94446849535726,0.08619363718284202,0.7420371634358057,0.012213880007309738,0.6178560417690855,0.043545251847551196,0.016050616314198657,0.023052018166331376,0.003601391302898767,0.08842854121861783,0.17578500833798136,0.004695163900756607
Can,01,1,A,Black,3,0.00010141605122427216,0.3407156330367767,0.009851287529269403,0.0013734660179759905,0.260510481853782,0.05951583471264843,18.95032971139225,0.11698318027863884,1.0288616556652925,0.012728676842334065,0.6110890779306227,0.04292957915686428,0.02502819068475323,0.023729130632698485,0.0036935551900783774,0.05268252477101904,0.19677020579957388,0.003578242939205321
Can,01,1,A,Black,4,6.479943728992615e-05,0.3067296511301798,0.0064690899504782715,0.0012035524192716167,0.15417004887672875,0.060868959172078005,18.336184546839124,0.12045174200865802,1.0037989798970806,0.012554802152675966,0.5927013274292262,0.04500978431885969,0.01872464949782976,0.023167034152645746,0.0035327518935801454,0.04236339385740261,0.1326071115531254,0.003397720508158419
Can,01,2,A,Black,1,5.552665780456936e-05,0.2666395159814635,0.006886897389053817,0.000984702507130741,0.16459054427402797,0.03024138300640422,13.533871663476036,0.05096966883518317,0.6120788720766065,0.010227629990966079,0.37211641437758697,0.007573255979406274,0.009279350618650048,0.015447760077025438,0.0028653373577900067,0.006877305457834234,0.07670692123021887,0.002000056454656967
Can,01,2,A,Black,2,8.157686476984797e-05,0.18073659747278337,0.007782003949234721,0.0009450037550446359,0.16582590182670556,0.03146430598887556,13.981452758143242,0.03973789759542101,0.4973165077818648,0.009875235703865911,0.4022597225143639,0.00698337651900813,0.009314034451306559,0.016594706072124422,0.0034670767105564122,0.00559111103340177,0.10742183194818264,0.0022409185252439605
Can,01,2,A,Black,3,7.01187204722249e-05,0.19041713805696886,0.005962050480841331,0.0009259940149026517,0.15080784782311732,0.030768494722687056,13.949400425297071,0.04457693336829207,0.6698553727080053,0.01021484268569952,0.40376845914883464,0.006305528408229257,0.01406590729510377,0.017569884925708296,0.0030301553786239925,0.005362494874897814,0.12887605937708285,0.0025054232815873664
Can,01,2,A,Black,4,5.488320657605624e-05,0.21848263645624008,0.006224892032485844,0.0009709542460887618,0.1578365006671818,0.03237560310358113,13.483161118644613,0.04051888397229823,0.5078464595259913,0.010067293513515667,0.4131839691150003,0.006347904970802176,0.008470531292155567,0.01666121132965055,0.0033477603336662973,0.005310308278011677,0.11415969851910085,0.0023586524896510534
Can,02,1,A,Black,1,3.7176929324370595e-05,0.13000153603214354,0.0018699149060397954,0.0010205408645535092,0.13984593639341933,0.015975607730813794,0.10842641236124308,0.05258477419694926,0.07780425734402,0.005393711346000286,0.02847970665098243,0.07314173512911328,0.00865899704160978,0.0032158622222587447,0.024123020463291345,0.1896124472266899,0.0595364506763586,0.03466001356539697
Can,02,1,A,Black,2,1.9190647281524723e-05,0.10492448448987715,0.0018952738835766028,0.0010521108825179413,0.1491764583232863,0.01741617056853259,0.030811243819511915,0.03324660699160783,0.062383636343978636,0.00473778015966654,0.003556486092521399,0.03372570535062551,0.006019526096688112,0.00014032017294954326,0.00817545565542173,0.02503984070761987,0.029369814979320032,0.004822335611215363
